Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Science majoring in Biochemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-biochemistry/dom/
Bachelor of Science majoring in Biotechnology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-biotechnology/dom/
Bachelor of Science majoring in Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-chemistry/dom/
Bachelor of Science majoring in Computational Physics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-computational-physics/dom/
Bachelor of Science majoring in Ecology,70.0,None,None,On Campus,"Adelaide City, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-ecology/dom/
Bachelor of Science majoring in Environmental Science,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-environmental-science/dom/
Bachelor of Science majoring in Environmental and Geospatial Science,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-environmental-and-geospatial-science/dom/
Bachelor of Science majoring in Evolutionary Biology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-evolutionary-biology/dom/
Bachelor of Science majoring in Evolutionary Biology and Palaeontology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-evolutionary-biology-and-palaeontology/dom/
Bachelor of Science majoring in Experimental Physics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-experimental-physics/dom/
Bachelor of Science majoring in Food Science and Technology,70.0,None,None,On Campus,"Waite, Adelaide City",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-food-science-and-technology/dom/
Bachelor of Science majoring in Genetics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-genetics/dom/
Bachelor of Science majoring in Geology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-geology/dom/
Bachelor of Science majoring in Geology and Earth Resources,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-geology-and-earth-resources/dom/
Bachelor of Science majoring in Geology and Palaeontology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-geology-and-palaeontology/dom/
Bachelor of Science majoring in Geophysics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-geophysics/dom/
Bachelor of Science majoring in Marine and Wildlife Conservation,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-marine-and-wildlife-conservation/dom/
Bachelor of Science majoring in Medicinal and Biological Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-medicinal-and-biological-chemistry/dom/
Bachelor of Science majoring in Microbiology and Immunology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-microbiology-and-immunology/dom/
Bachelor of Science majoring in Nuclear Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-nuclear-chemistry/dom/
Bachelor of Science majoring in Nuclear and Radiation Physics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-nuclear-and-radiation-physics/dom/
Bachelor of Science majoring in Physics and Geophysics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-physics-and-geophysics/dom/
Bachelor of Science majoring in Plant Biology,70.0,None,None,On Campus,"Waite, Adelaide City",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-plant-biology/dom/
Bachelor of Science majoring in Pure and Applied Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-pure-and-applied-chemistry/dom/
Bachelor of Science majoring in Soil Science,70.0,None,None,On Campus,"Waite, Adelaide City",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-soil-science/dom/
