Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Human Movement majoring in Secondary Health and Physical Education,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-human-movement-secondary-health-and-physical-education/dom/
Bachelor of Teaching (Early Childhood Education),80.0,None,None,On Campus,,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-teaching-early-childhood-education/dom/
Bachelor of Teaching (Primary) (Honours),80.0,None,None,On Campus,,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-teaching-primary-honours/dom/
Bachelor of Teaching (Secondary) (Honours),80.0,None,None,On Campus,,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-teaching-secondary-honours/dom/
