Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Aviation majoring in Management,70.0,None,None,On Campus,Mawson Lakes,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-aviation-management/dom/
Bachelor of Aviation majoring in Pilot,70.0,None,None,On Campus,Mawson Lakes,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-aviation-pilot/dom/
Bachelor of Engineering (Mechanical) (Honours) majoring in Aerospace Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours-aerospace-engineering/dom/
