timestamp,selected_field,selected_degree,selected_campus,selected_mode,selected_start_date,sort_column,ascending,num_results
2025-06-15T10:08:18.323918,Health & Biomedical Sciences,-- None --,Adelaide City,On Campus,-- None --,Degree Name,True,26
2025-06-15T10:12:01.619204,"Accounting, Commerce & Economics",-- None --,Adelaide City,On Campus,-- None --,Degree Name,True,17
